SampleID,AnimalID,Timepoint,Vaccine
I01_D0,I01,0H,mRNA
I01_24H,I01,24H,mRNA
I01_W4-24H,I01,W4-24H,mRNA
I02_D0,I02,0H,Vaxigrip
I02_24H,I02,24H,Vaxigrip
I02_W4-24H,I02,W4-24H,Vaxigrip
I03_D0,I03,0H,Fluad
I03_24H,I03,24H,Fluad
I04_D0,I04,0H,mRNA
I04_24H,I04,24H,mRNA
I04_W4-24H,I04,W4-24H,mRNA
I05_D0,I05,0H,Fluad
I05_24H,I05,24H,Fluad
I06_D0,I06,0H,mRNA
I06_24H,I06,24H,mRNA
I06_W4-24H,I06,W4-24H,mRNA
I07_D0,I07,0H,Fluad
I07_24H,I07,24H,Fluad
I09_D0,I09,0H,Vaxigrip
I09_24H,I09,24H,Vaxigrip
I10_D0,I10,0H,Vaxigrip
I10_24H,I10,24H,Vaxigrip
I12_D0,I12,0H,Fluad
I12_24H,I12,24H,Fluad
I13_D0,I13,0H,Fluad
I13_24H,I13,24H,Fluad
I13_W4-24H,I13,W4-24H,Fluad
I14_D0,I14,0H,mRNA
I14_24H,I14,24H,mRNA
I14_W4-24H,I14,W4-24H,mRNA
I16_D0,I16,0H,mRNA
I16_24H,I16,24H,mRNA
I16_W4-24H,I16,W4-24H,mRNA
I17_D0,I17,0H,Vaxigrip
I17_24H,I17,24H,Vaxigrip